title,isbn,price_eur,shop_link,google_search_link,shop,date_scraped
Приключения мышонка Десперо,9785389001640,19.22,https://notrelocus.com/products/приключения-мышонка-десперо,https://www.google.com/search?q=9785389001640,notre_locus,2026-03-29
"Все бегут, летят и скачут",9785389170865,25.62,https://notrelocus.com/products/все-бегут-летят-и-скачут,https://www.google.com/search?q=9785389170865,notre_locus,2026-03-29
Рассказы в картинках,9785389155473,18.88,https://notrelocus.com/products/рассказы-в-картинках,https://www.google.com/search?q=9785389155473,notre_locus,2026-03-29
Ответственный ребёнок. Стихи для детей,9785389102767,26.97,https://notrelocus.com/products/ответственный-ребёнок-стихи-для-детей,https://www.google.com/search?q=9785389102767,notre_locus,2026-03-29
Колыбельная для маленького пирата (иллюстр. А. Ломаева),9785389147775,15.18,https://notrelocus.com/products/колыбельная-для-маленького-пирата-иллюстр-а-ломаева,https://www.google.com/search?q=9785389147775,notre_locus,2026-03-29
Слон и Маруська,9785389208490,13.16,https://notrelocus.com/products/слон-и-маруська,https://www.google.com/search?q=9785389208490,notre_locus,2026-03-29
Рабочая азбука. Стихотворение,9785389193390,19.21,https://notrelocus.com/products/рабочая-азбука-стихотворение,https://www.google.com/search?q=9785389193390,notre_locus,2026-03-29
Кто открыл Америку: стихотворение,9785389213500,19.21,https://notrelocus.com/products/кто-открыл-америку-стихотворение,https://www.google.com/search?q=9785389213500,notre_locus,2026-03-29
Баллада о маленьком буксире : Стихотворение.,9785389016521,19.21,https://notrelocus.com/products/баллада-о-маленьком-буксире-стихотворение,https://www.google.com/search?q=9785389016521,notre_locus,2026-03-29
Большая книга стихов и сказок,9785389195141,21.58,https://notrelocus.com/products/большая-книга-стихов-и-сказок,https://www.google.com/search?q=9785389195141,notre_locus,2026-03-29
"Музей доисторических животных. Единороги, мамонты, динозавры и другие экспонаты",9785389195578,14.15,https://notrelocus.com/products/музей-доисторических-животных-единороги-мамонты-динозавры-и-другие-экспонаты,https://www.google.com/search?q=9785389195578,notre_locus,2026-03-29
"Грандиозная и удивительная история костюма, тканей, нарядов, тряпок и шмоток!",9785389188907,16.18,https://notrelocus.com/products/грандиозная-и-удивительная-история-костюма-тканей-нарядов-тряпок-и-шмоток,https://www.google.com/search?q=9785389188907,notre_locus,2026-03-29
Рассказы о картинах. История живописи для детей,9785389227408,22.92,https://notrelocus.com/products/рассказы-о-картинах-история-живописи-для-детей,https://www.google.com/search?q=9785389227408,notre_locus,2026-03-29
Новая энциклопедия для любознательных,9785389129795,15.16,https://notrelocus.com/products/новая-энциклопедия-для-любознательных,https://www.google.com/search?q=9785389129795,notre_locus,2026-03-29
Большая энциклопедия школьника,9785389171664,17.19,https://notrelocus.com/products/большая-энциклопедия-школьника,https://www.google.com/search?q=9785389171664,notre_locus,2026-03-29
Штормик и мистер Персиваль,9785389180673,15.18,https://notrelocus.com/products/штормик-и-мистер-персиваль-повесть,https://www.google.com/search?q=9785389180673,notre_locus,2026-03-29
Алиса в Стране чудес,9785389186170,20.23,https://notrelocus.com/products/алиса-в-стране-чудес,https://www.google.com/search?q=9785389186170,notre_locus,2026-03-29
Алиса в Зазеркалье,9785389182431,26.97,https://notrelocus.com/products/алиса-в-зазеркалье,https://www.google.com/search?q=9785389182431,notre_locus,2026-03-29
Шляпа Волшебника,9785389134867,13.16,https://notrelocus.com/products/шляпа-волшебника,https://www.google.com/search?q=9785389134867,notre_locus,2026-03-29
Папа и море,9785389141957,13.16,https://notrelocus.com/products/папа-и-море,https://www.google.com/search?q=9785389141957,notre_locus,2026-03-29
Невидимая девочка и другие истории,9785389141971,13.16,https://notrelocus.com/products/невидимая-девочка-и-другие-истории-1,https://www.google.com/search?q=9785389141971,notre_locus,2026-03-29
Мемуары Муми-папы,9785389140035,17.53,https://notrelocus.com/products/мемуары-муми-папы,https://www.google.com/search?q=9785389140035,notre_locus,2026-03-29
Колобок (по слогам),9785389076839,7.07,https://notrelocus.com/products/колобок,https://www.google.com/search?q=9785389076839,notre_locus,2026-03-29
Три медведя (по слогам),9785389055186,7.07,https://notrelocus.com/products/три-медведя,https://www.google.com/search?q=9785389055186,notre_locus,2026-03-29
Красная Шапочка (по слогам),9785389053915,7.08,https://notrelocus.com/products/красная-шапочка,https://www.google.com/search?q=9785389053915,notre_locus,2026-03-29
