Book Name;ISBN;Price (EUR);Original Price;Original Currency;Available
Владимир Войнович. Монументальная пропаганда. Роман;N/A;16,00;16,00;EUR;Yes
Говард Лавкрафт. Зов Ктулху;N/A;14,00;14,00;EUR;Yes
Исаак Башевис Зингер. Раскаявшийся. Роман;N/A;6,00;6,00;EUR;Yes
Живые и прочие: 41 лучший рассказ 2009 года. Составитель Макс Фрай;N/A;10,00;10,00;EUR;Yes
Николай Павленко. Екатерина Великая. Серия ЖЗЛ;N/A;14,00;14,00;EUR;Yes
Патрик Карез. Климт: Эпоха и жизнь венского художника: Роман-биография. Серия ЖЗЛ;N/A;16,00;16,00;EUR;Yes
Михаил Рощин. Иван Бунин. Серия ЖЗЛ;N/A;12,00;12,00;EUR;Yes
Жан-Кристиан Птифис. Истинный д'Артаньян. Серия ЖЗЛ;N/A;14,00;14,00;EUR;Yes
Андре Моруа. Дон Жуан, или Жизнь Байрона. Серия ЖЗЛ;N/A;14,00;14,00;EUR;Yes
Жак де Ланглад. Оскар Уайльд, или Правда масок. Серия ЖЗЛ;N/A;14,00;14,00;EUR;Yes
Максим Чертанов. Хемингуэй. Серия ЖЗЛ;N/A;16,00;16,00;EUR;Yes
Владимир Сорокин. Теллурия. Роман;N/A;14,00;14,00;EUR;Yes
Ганс Гейнц Эверс. Паук;N/A;12,00;12,00;EUR;Yes
Джулия Грегсон. Жасминовые ночи;N/A;12,00;12,00;EUR;Yes
Юрий Буйда. Цейлон. Роман;N/A;10,00;10,00;EUR;Yes
Mario Vargas Llosa. Los cuadernos de don Rigoberto;N/A;10,00;10,00;EUR;Yes
Наринэ Абгарян. Зулали;N/A;12,00;12,00;EUR;Yes
Девять дней в июле. Сборник рассказов;N/A;10,00;10,00;EUR;Yes
Владимир Сорокин. Манарага;N/A;12,00;12,00;EUR;Yes
Виктор Пелевин. Ананасная вода для прекрасной дамы;N/A;12,00;12,00;EUR;Yes
Нил Гейман. Никогде;N/A;16,00;16,00;EUR;Yes
Дина Рубина. Больно только когда смеюсь;N/A;12,00;12,00;EUR;Yes
Владимир Голяховский. Еврейская сага. Книга первая. Семья Берг;N/A;14,00;14,00;EUR;Yes
Владимир Голяховский. Еврейская сага. Книга четвертая. Это Америка;N/A;14,00;14,00;EUR;No
Айн Рэнд. Атлант расправил плечи. Часть третья. А есть А;N/A;12,00;12,00;EUR;Yes
Мариам Петросян. Дом, в котором...;N/A;20,00;20,00;EUR;Yes
Элеанор Каттон. Светила;N/A;16,00;16,00;EUR;Yes
Тамара Кандала. Шассе-Круазе;N/A;10,00;10,00;EUR;Yes
Эдит Уортон. Эпоха невинности. В доме веселья. В лучах мерцающей луны;N/A;18,00;18,00;EUR;Yes
Алессандро Барикко. Шёлк и другие истории;N/A;14,00;14,00;EUR;Yes
Питер Хеджес. Что гложет Гилберта Грейпа?;N/A;14,00;14,00;EUR;Yes
Андрей Жвалевский, Евгения Пастернак. Смерть мертвым душам!;N/A;10,00;10,00;EUR;Yes
"Джон Ирвинг. Отель ""Нью-Гэмпшир""";N/A;14,00;14,00;EUR;Yes
Гюстав Эмар. Сокровище Картахены. Береговое братство. Морские титаны. Романы;N/A;14,00;14,00;EUR;Yes
Гюстав Эмар. Авантюристы. Морские бродяги. Золотая Кастилия. Романы;N/A;14,00;14,00;EUR;Yes
Гюстав Эмар. Короли океана. Роман;N/A;14,00;14,00;EUR;Yes
Артуро Перес-Реверте. Капитан Алатристе. Романы;N/A;14,00;14,00;EUR;Yes
Артуро Перес-Реверте. По острию клинка. Романы;N/A;14,00;14,00;EUR;Yes
Джон Ирвинг. Мир глазами Гарпа. Роман;N/A;16,00;16,00;EUR;Yes
Консуэло де Сент-Экзюпери. Воспоминания розы;N/A;10,00;10,00;EUR;Yes
Юрий Глазов. Уход от темы;N/A;6,00;6,00;EUR;No
Артур Конан Дойль. Этюд в багровых тонах. Приключения Шерлока Холмса;N/A;16,00;16,00;EUR;Yes
Роальд Даль. Дорога в рай. Полное собрание рассказов;N/A;18,00;18,00;EUR;Yes
"Дафна Дюморье. Трактир ""Ямайка"". Моя кузина Рейчел. Козел отпущения";N/A;18,00;18,00;EUR;Yes
Мария Галина. Все имена птиц. Хроники неизвестных времен;N/A;20,00;20,00;EUR;No
Борис Виан. Пена дней и другие истории. Романы, рассказы;N/A;18,00;18,00;EUR;Yes
Чарльз Буковски. Почтамт. Женщины. Макулатура;N/A;12,00;12,00;EUR;Yes
Третье пришествие. Современная фантастика Болгарии: Повести, рассказы;N/A;8,00;8,00;EUR;Yes
Давид Фридман. Мендель Маранц;N/A;12,00;12,00;EUR;Yes
Роберт Шекли. Белая смерть;N/A;16,00;16,00;EUR;Yes
Роберт Шекли. Десятая жертва;N/A;16,00;16,00;EUR;Yes
Гилберт Кит Честертон. Все расследования отца Брауна;N/A;16,00;16,00;EUR;No
Марио Варгас Льоса. Скромный герой;N/A;16,00;16,00;EUR;Yes
Григорий Шур. Евреи в Вильно. Хроника 1941—1944 гг.;N/A;16,00;16,00;EUR;Yes
Эрик Фрэнк Рассел. Эта безумная Вселенная;N/A;18,00;18,00;EUR;Yes
Стивен Кинг. 11/22/63;N/A;22,00;22,00;EUR;Yes
Андрэ Нортон. Королева Солнца: Романы;N/A;12,00;12,00;EUR;Yes
Александр Дюма. Робин Гуд;N/A;12,00;12,00;EUR;Yes
"Марта Шад. Дочь Сталина ""Я живу в тени моего отца...""";N/A;10,00;10,00;EUR;Yes
Роджер Желязны, Роберт Шекли. История рыжего демона;N/A;14,00;14,00;EUR;Yes
Иосиф Райхельгауз. Мы попали в запендю. Жизнь в театре. Театр в жизни;N/A;8,00;8,00;EUR;Yes
Артуро Перес-Реверте. Фламандская доска;N/A;12,00;12,00;EUR;Yes
