Book Name;ISBN;Price (EUR);Original Price;Original Currency;Available
Лериана, невеста герцога по контракту. Том 7;N/A;42,67;155,00;ILS;Yes
Гамлет. Макбет;N/A;20,64;75,00;ILS;No
Робинзон и тринадцать жадностей. Рис. Н. Воронцова;N/A;37,16;135,00;ILS;Yes
Сто лет тому вперед;N/A;16,52;60,00;ILS;No
Бегство от волшебника;N/A;15,14;55,00;ILS;No
Боги и демоны Древнего Египта: в царстве великого солнца;N/A;49,55;180,00;ILS;Yes
Таро. 1001 расклад. Самая большая коллекция раскладов для ответа на любой вопрос;N/A;44,04;160,00;ILS;No
Платформа;N/A;34,41;125,00;ILS;Yes
Элементарные частицы;N/A;35,78;130,00;ILS;No
Стихи;N/A;26,15;95,00;ILS;No
Письмо незнакомки;N/A;20,64;75,00;ILS;Yes
Кимчи. Символ корейской кухни;N/A;42,67;155,00;ILS;Yes
Спой мне, иволга...;N/A;13,76;50,00;ILS;Yes
От Босха до Брейгеля: любимые картины;N/A;132,13;480,00;ILS;No
Конец моды. Одежда и костюм в эпоху глобализации;N/A;34,41;125,00;ILS;Yes
Становление писательницы. Мифы и факты викторианского книжного рынка;N/A;38,54;140,00;ILS;No
Слухи, образы, эмоции. Массовые настроения россиян в годы войны и революции (1914–1918);N/A;64,69;235,00;ILS;Yes
Как мы жили в СССР;N/A;31,66;115,00;ILS;Yes
Футбол. Война. Холокост. Документы, свидетельства, фотографии;N/A;23,40;85,00;ILS;Yes
Экспериментальная мода. Искусство перформанса, карнавал и гротескное тело;N/A;31,66;115,00;ILS;Yes
Территории моды: потребление, пространство и ценность;N/A;31,66;115,00;ILS;No
Театр эллинского искусства;N/A;31,66;115,00;ILS;No
Фэшн-фильм. Искусство и реклама в цифровую эпоху;N/A;28,90;105,00;ILS;Yes
Поэты и джентльмены. Роман-ранобэ;N/A;24,77;90,00;ILS;Yes
Торговцы культурой. Книгоиздательский бизнес в XXI веке;N/A;39,91;145,00;ILS;Yes
Викторианки;N/A;24,77;90,00;ILS;No
Политические эмоции. Почему любовь важна для справедливости;N/A;34,41;125,00;ILS;No
Формула всего;N/A;37,16;135,00;ILS;Yes
Черные дыры. Лекции BBC;N/A;23,40;85,00;ILS;Yes
На плечах гигантов;N/A;35,78;130,00;ILS;No
CO-MIX;N/A;119,74;435,00;ILS;No
Кто не спрятался;N/A;34,41;125,00;ILS;No
Праздник, который всегда с тобой;N/A;19,27;70,00;ILS;No
