title,vendor,isbn,price_eur,link,shop,updated_at
"Алексей Иванов ""Ёбург. Город храбрых""",Альпина нон-фикшн,9785001395218,17.11,https://nmbooks.shop/products/n0022,nm_books,2026-03-29
"Сэм Кинг ""Отряд отморозков: Миссия «Алсос» или кто помешал нацистам создать атомную бомбу""",Альпина нон-фикшн,9785001398042,15.89,https://nmbooks.shop/products/n0020,nm_books,2026-03-29
"Олег Ивик ""Мифозои: история и биология мифических животных""",Альпина нон-фикшн,9785002233656,14.67,https://nmbooks.shop/products/n0019,nm_books,2026-03-29
"Ричард Вайнен ""Долгий '68: радикальный протест и его враги""",Альпина нон-фикшн,9785001391760,18.13,https://nmbooks.shop/products/n0017,nm_books,2026-03-29
"Андрей Шаповалов ""Говорящие с духами: Мир сибирского шаманизма""",Альпина нон-фикшн,9785002231331,13.45,https://nmbooks.shop/products/n0016,nm_books,2026-03-29
"Уинстон Черчилль ""Вторая мировая война"" (в 3 книгах)",Альпина нон-фикшн,9785961439373,52.97,https://nmbooks.shop/products/n0015,nm_books,2026-03-29
"Томас К. Шор ""В шаге от рая: Правдивая история путешествия тибетского ламы в Страну Бессмертия""",Альпина Паблишер,9785961439373,13.45,https://nmbooks.shop/products/n0014,nm_books,2026-03-29
"Фрэнк Фаранда ""Парадокс страха: Как одержимость безопасностью мешает нам жить"" [покет-серия]",Альпина нон-фикшн,9785002231188,6.93,https://nmbooks.shop/products/n0013,nm_books,2026-03-29
"Хелен Скейлз ""О чём молчат рыбы: Путеводитель по жизни морских обитателей""",Альпина нон-фикшн,9785002232314,13.45,https://nmbooks.shop/products/n0012,nm_books,2026-03-29
"Мария Лоренца Кьезара ""Секст как лекарство от тревоги: Чему мы можем научиться у философов-скептиков""",Альпина Паблишер,9785961494938,11.41,https://nmbooks.shop/products/n0011,nm_books,2026-03-29
"Стивен Пинкер ""Рациональность: Что это, почему нам ее не хватает и чем она важна""",Альпина нон-фикшн,9785001398196,20.37,https://nmbooks.shop/products/n0010,nm_books,2026-03-29
"Александра Стайн ""Страх, любовь и пропаганда: Механизмы влияния в сектах и тоталитарных системах""",Альпина Паблишер,9785961487640,15.89,https://nmbooks.shop/products/n0009,nm_books,2026-03-29
"Дэниел Ергин ""Добыча: Всемирная история борьбы за нефть, деньги и власть""",Альпина Pro,9785961437881,40.75,https://nmbooks.shop/products/n0008,nm_books,2026-03-29
"Мэри Бирд ""SPQR: История Древнего Рима""",Альпина нон-фикшн,9785001390114,20.37,https://nmbooks.shop/products/n0007,nm_books,2026-03-29
"Малкольм Гладуэлл ""Что видела собака: Про первопроходцев, гениев второго плана, поздние таланты, а также другие истории"" [покет-серия]",Альпина Паблишер,9785961423860,6.93,https://nmbooks.shop/products/n0006,nm_books,2026-03-29
"Малкольм Гладуэлл ""Сила мгновенных решений: Интуиция как навык"" [покет-серия]",Альпина Паблишер,9785961468946,6.93,https://nmbooks.shop/products/n0005,nm_books,2026-03-29
"Малкольм Гладуэлл ""Давид и Голиаф: Как аутсайдеры побеждают фаворитов"" [покет-серия]",Альпина Паблишер,9785961471533,6.93,https://nmbooks.shop/products/n0004,nm_books,2026-03-29
"Малкольм Гладуэлл ""Переломный момент: Как незначительные изменения приводят к глобальным переменам"" [покет-серия]",Альпина Паблишер,9785961422870,6.93,https://nmbooks.shop/products/n0003,nm_books,2026-03-29
"Айн Рэнд ""Атлант расправил плечи"" [в 3-х книгах]",Альпина Проза,9785961467420,28.93,https://nmbooks.shop/products/n0002,nm_books,2026-03-29
"Айрат Багаутдинов ""Чему я могу научиться у Владимира Шухова""",Альпина. Дети,9785961493467,10.19,https://nmbooks.shop/products/n0001,nm_books,2026-03-29
